# COMMON COMMAND SEQUENCE PATTERNS
# Format: FULL_SEQUENCE	CATEGORY	FREQUENCY

THE BLUETOOTH HANGING	TROUBLESHOOT	12
MY BLUETOOTH STUCK	TROUBLESHOOT	12
THE BLUETOOTH STUCK	TROUBLESHOOT	12
MY PRINTER DOESNT WORK	TROUBLESHOOT	12
THE PRINTER DOESNT WORK	TROUBLESHOOT	12
MY PRINTER NOT WORKING	TROUBLESHOOT	12
THE PRINTER NOT WORKING	TROUBLESHOOT	12
MY PRINTER BROKEN	TROUBLESHOOT	12
THE PRINTER BROKEN	TROUBLESHOOT	12
MY PRINTER FAILED	TROUBLESHOOT	12
THE PRINTER FAILED	TROUBLESHOOT	12
MY PRINTER ERROR	TROUBLESHOOT	12
THE PRINTER ERROR	TROUBLESHOOT	12
MY PRINTER CRASH	TROUBLESHOOT	12
THE PRINTER CRASH	TROUBLESHOOT	12
MY PRINTER FREEZE	TROUBLESHOOT	12
THE PRINTER FREEZE	TROUBLESHOOT	12
MY PRINTER SLOW	TROUBLESHOOT	12
THE PRINTER SLOW	TROUBLESHOOT	12
MY PRINTER UNRESPONSIVE	TROUBLESHOOT	12
THE PRINTER UNRESPONSIVE	TROUBLESHOOT	12
MY PRINTER HANGING	TROUBLESHOOT	12
THE PRINTER HANGING	TROUBLESHOOT	12
MY PRINTER STUCK	TROUBLESHOOT	12
THE PRINTER STUCK	TROUBLESHOOT	12
MY USB DOESNT WORK	TROUBLESHOOT	12
THE USB DOESNT WORK	TROUBLESHOOT	12
MY USB NOT WORKING	TROUBLESHOOT	12
THE USB NOT WORKING	TROUBLESHOOT	12
MY USB BROKEN	TROUBLESHOOT	12
THE USB BROKEN	TROUBLESHOOT	12
MY USB FAILED	TROUBLESHOOT	12
THE USB FAILED	TROUBLESHOOT	12
MY USB ERROR	TROUBLESHOOT	12
THE USB ERROR	TROUBLESHOOT	12
MY USB CRASH	TROUBLESHOOT	12
THE USB CRASH	TROUBLESHOOT	12
MY USB FREEZE	TROUBLESHOOT	12
THE USB FREEZE	TROUBLESHOOT	12
MY USB SLOW	TROUBLESHOOT	12
THE USB SLOW	TROUBLESHOOT	12
MY USB UNRESPONSIVE	TROUBLESHOOT	12
THE USB UNRESPONSIVE	TROUBLESHOOT	12
MY USB HANGING	TROUBLESHOOT	12
THE USB HANGING	TROUBLESHOOT	12
MY USB STUCK	TROUBLESHOOT	12
THE USB STUCK	TROUBLESHOOT	12
MY DISK DOESNT WORK	TROUBLESHOOT	12
THE DISK DOESNT WORK	TROUBLESHOOT	12
MY DISK NOT WORKING	TROUBLESHOOT	12
THE DISK NOT WORKING	TROUBLESHOOT	12
MY DISK BROKEN	TROUBLESHOOT	12
THE DISK BROKEN	TROUBLESHOOT	12
MY DISK FAILED	TROUBLESHOOT	12
THE DISK FAILED	TROUBLESHOOT	12
MY DISK ERROR	TROUBLESHOOT	12
THE DISK ERROR	TROUBLESHOOT	12
MY DISK CRASH	TROUBLESHOOT	12
THE DISK CRASH	TROUBLESHOOT	12
MY DISK FREEZE	TROUBLESHOOT	12
THE DISK FREEZE	TROUBLESHOOT	12
MY DISK SLOW	TROUBLESHOOT	12
THE DISK SLOW	TROUBLESHOOT	12
MY DISK UNRESPONSIVE	TROUBLESHOOT	12
THE DISK UNRESPONSIVE	TROUBLESHOOT	12
MY DISK HANGING	TROUBLESHOOT	12
THE DISK HANGING	TROUBLESHOOT	12
MY DISK STUCK	TROUBLESHOOT	12
THE DISK STUCK	TROUBLESHOOT	12
MY PARTITION DOESNT WORK	TROUBLESHOOT	12
THE PARTITION DOESNT WORK	TROUBLESHOOT	12
MY PARTITION NOT WORKING	TROUBLESHOOT	12
THE PARTITION NOT WORKING	TROUBLESHOOT	12
MY PARTITION BROKEN	TROUBLESHOOT	12
THE PARTITION BROKEN	TROUBLESHOOT	12
MY PARTITION FAILED	TROUBLESHOOT	12
THE PARTITION FAILED	TROUBLESHOOT	12
MY PARTITION ERROR	TROUBLESHOOT	12
THE PARTITION ERROR	TROUBLESHOOT	12
MY PARTITION CRASH	TROUBLESHOOT	12
THE PARTITION CRASH	TROUBLESHOOT	12
MY PARTITION FREEZE	TROUBLESHOOT	12
THE PARTITION FREEZE	TROUBLESHOOT	12
MY PARTITION SLOW	TROUBLESHOOT	12
THE PARTITION SLOW	TROUBLESHOOT	12
MY PARTITION UNRESPONSIVE	TROUBLESHOOT	12
THE PARTITION UNRESPONSIVE	TROUBLESHOOT	12
MY PARTITION HANGING	TROUBLESHOOT	12
THE PARTITION HANGING	TROUBLESHOOT	12
MY PARTITION STUCK	TROUBLESHOOT	12
THE PARTITION STUCK	TROUBLESHOOT	12
MY FILE DOESNT WORK	TROUBLESHOOT	12
THE FILE DOESNT WORK	TROUBLESHOOT	12
MY FILE NOT WORKING	TROUBLESHOOT	12
THE FILE NOT WORKING	TROUBLESHOOT	12
MY FILE BROKEN	TROUBLESHOOT	12
THE FILE BROKEN	TROUBLESHOOT	12
MY FILE FAILED	TROUBLESHOOT	12
THE FILE FAILED	TROUBLESHOOT	12
MY FILE ERROR	TROUBLESHOOT	12
THE FILE ERROR	TROUBLESHOOT	12
MY FILE CRASH	TROUBLESHOOT	12
THE FILE CRASH	TROUBLESHOOT	12
MY FILE FREEZE	TROUBLESHOOT	12
THE FILE FREEZE	TROUBLESHOOT	12
MY FILE SLOW	TROUBLESHOOT	12
THE FILE SLOW	TROUBLESHOOT	12
MY FILE UNRESPONSIVE	TROUBLESHOOT	12
THE FILE UNRESPONSIVE	TROUBLESHOOT	12
MY FILE HANGING	TROUBLESHOOT	12
THE FILE HANGING	TROUBLESHOOT	12
MY FILE STUCK	TROUBLESHOOT	12
THE FILE STUCK	TROUBLESHOOT	12
MY FOLDER DOESNT WORK	TROUBLESHOOT	12
THE FOLDER DOESNT WORK	TROUBLESHOOT	12
MY FOLDER NOT WORKING	TROUBLESHOOT	12
THE FOLDER NOT WORKING	TROUBLESHOOT	12
MY FOLDER BROKEN	TROUBLESHOOT	12
THE FOLDER BROKEN	TROUBLESHOOT	12
MY FOLDER FAILED	TROUBLESHOOT	12
THE FOLDER FAILED	TROUBLESHOOT	12
MY FOLDER ERROR	TROUBLESHOOT	12
THE FOLDER ERROR	TROUBLESHOOT	12
MY FOLDER CRASH	TROUBLESHOOT	12
THE FOLDER CRASH	TROUBLESHOOT	12
MY FOLDER FREEZE	TROUBLESHOOT	12
THE FOLDER FREEZE	TROUBLESHOOT	12
MY FOLDER SLOW	TROUBLESHOOT	12
THE FOLDER SLOW	TROUBLESHOOT	12
MY FOLDER UNRESPONSIVE	TROUBLESHOOT	12
THE FOLDER UNRESPONSIVE	TROUBLESHOOT	12
MY FOLDER HANGING	TROUBLESHOOT	12
THE FOLDER HANGING	TROUBLESHOOT	12
MY FOLDER STUCK	TROUBLESHOOT	12
THE FOLDER STUCK	TROUBLESHOOT	12
